id,streetAddress,latitude,longitude,price
938,08221 Fremont Park,-3.6619451,119.5513689,5.3
939,96 Harbort Way,14.453071,121.030984,13.5
940,9 Meadow Vale Way,35.237207,102.827734,9.6
941,96433 Erie Plaza,-9.2247779,-77.6478852,20.8
942,4413 Bluestem Crossing,7.3766609,122.2900844,27.9
943,18668 Bayside Point,4.7524091,-55.0272904,29.6
944,9 Corry Park,32.169335,119.19095,11.6
945,03925 Eagan Junction,12.3856506,125.3027214,2.7
946,1373 Leroy Center,27.9937685,120.6784858,14.2
947,6 Namekagon Road,35.490701,112.851831,4.5
948,70223 Stang Avenue,40.5931238,43.7385844,12.6
949,3 Summer Ridge Circle,-10.7507694,-77.7595131,19.2
950,029 Corscot Lane,-17.0127475,48.571263,15.2
951,1 Jenna Road,49.8054141,6.1555655,26.8
952,64 Lerdahl Circle,41.2600949,-8.2803826,7.0
953,2 Pepper Wood Lane,48.1285846,38.0317812,7.5
954,5577 Oakridge Parkway,-6.6656231,106.3438367,7.0
955,297 Truax Pass,30.274084,120.15507,7.6
956,33013 Prentice Junction,-9.8076,123.9023,21.4
957,26 Scott Alley,15.488092,114.404754,22.4
958,178 Mallory Terrace,43.9375282,15.162899,17.5
959,04241 Canary Crossing,-34.6250746,-58.4879365,16.6
960,6102 David Point,13.7761367,-61.006385,12.7
961,88 Buell Court,49.978837,35.759315,28.9
962,62500 Ryan Hill,24.8560587,67.2164016,10.8
963,4 Gateway Court,-6.2266758,106.8104633,3.9
964,330 Graceland Road,22.280436,114.157935,10.2
965,848 Elmside Trail,11.57256,124.574799,19.1
966,2896 Sullivan Point,48.892701,2.233089,19.9
967,578 Buell Way,5.472709,-74.667984,23.4
968,3 Mayer Lane,44.3868443,142.3980641,18.8
969,03319 Brown Pass,50.3633974,25.1107867,29.0
970,8 Stone Corner Avenue,14.7292218,121.051001,20.0
971,15466 Thompson Alley,-7.158502,109.263397,18.1
972,91 Stoughton Street,13.76857,46.011871,15.8
973,3509 Bowman Plaza,-34.7356949,-58.6340339,14.7
974,0 Mandrake Point,46.7391866,7.6185958,2.4
975,7039 Harbort Pass,-3.0029841,115.9467997,21.7
976,7 Sunnyside Way,58.1483629,24.9513595,20.5
977,6 Utah Crossing,49.7743548,13.8407248,28.0
978,61 Gerald Park,11.383932,107.5386809,19.8
979,47 5th Court,36.67006,37.73278,25.0
980,85340 Muir Parkway,26.695419,101.841707,9.5
981,9609 Maryland Center,9.2178609,7.1898025,22.6
982,1 Havey Road,47.2420053,-122.4206086,15.2
983,8 Fremont Parkway,50.025483,16.2590848,17.8
984,9400 Schmedeman Circle,24.347324,102.527197,22.1
985,1 West Alley,11.6576,122.3851,7.8
986,63 Dixon Court,-7.7995142,111.5438491,26.6
987,59 Maple Court,-22.8481591,-47.6063666,23.8
988,31 Goodland Lane,53.7253057,78.0495272,6.0
989,236 Meadow Vale Parkway,40.609731,120.756479,8.8
990,504 Spenser Crossing,28.0206587,67.9219383,20.9
